uid,sdn_name,alt_names,sdn_type,sdn_program,
56023,IRANIAN BASPAR PUYA COMPANY,"AL-KAYNA'I, Mahir Yahya",Entity ,"SDGT, IFSR",
56024,PARS NAVANDISHAN ARTIFICIAL INTELLIGENCE PROJECTS COMPANY,"AL-KAYNA'I, Mahir Yahya Muhammad",Entity ,"SDGT, IFSR",
56025,"RUHANI, Seyyed Mohammad",YTAC COMPANY,individual,"SDGT, IFSR",
56026,"TURANLU, Hosein Sayyadi","GUANGZHOU SHA HAOLI TRADING CO., LTD.",individual,"SDGT, IFSR",
56027,"DOLATABADI, Ehsan Mohaghegh","ALSHAHARE, Ahmed Khaled Yahya",individual,"SDGT, IFSR",
56028,"ABTAHI, Seyyed Ali",ARAFAT SHIPPING CO,individual,"SDGT, IFSR",
56029,"HLA, Sai Kyaw",KONSTRUKTORSKOE BYURO VOSTOK,individual,"BURMA-EO14014, CYBER4",
56030,"STEEL, Saw",KB VOSTOK OOO,individual,"BURMA-EO14014, CYBER4",
56031,"WIN, Saw Sein",KB VOSTOK,individual,"BURMA-EO14014, CYBER4",
56032,"AUNG, Saw San",VOSTOK DESIGN BUREAU,individual,"BURMA-EO14014, CYBER4",
56033,"SAWANG, Chamu",AKTSIONERNOE OBSCHCHESTVO TRV INZHINIRING,individual,"BURMA-EO14014, CYBER4",
56037,RYUJONG CREDIT BANK,TRV INZHINIRING AO,Entity ,DPRK4,
56038,"HO, Yong Chol",TD ZVEZDA-STRELA OOO,individual,DPRK,
56039,"CHOE, Chun Pom",ZVEZDA-STRELA TRADING HOUSE LLC,individual,DPRK3,
56041,"RI, Jin Hyok",JOINT STOCK COMPANY TOGOVIY DOM ZVEZDA-STRELA,individual,DPRK3,
56042,"JONG, Sung Hyok","PUSHKOV, Alexander",individual,DPRK3,
56043,"HAN, Hong Gil",OUK YUZHKUZBASSUGOL AO,individual,DPRK4,
56044,KOREA MANGYONGDAE COMPUTER TECHNOLOGY CORPORATION,AO OUK IUZHKUZBASSUGOL,Entity ,DPRK4,
56045,"U, Yong Su",OOO ALARDINSKAYA MINE,individual,DPRK4,
56048,"RANI, Indu",SHAKHTA ALARDINSKAYA OOO,individual,TCO,
56049,MICHIGANTAP HOSPITALITY PRIVATE LIMITED,OOO SHAKHTA ALARDINSKAIA,Entity ,TCO,
56050,VVN BUILDCON PRIVATE LIMITED,OOO ESAULSKAYA MINE,Entity ,TCO,
56051,BHAVISHYA REALCON PRIVATE LIMITED,SHAKHTA ESAULSKAYA OOO,Entity ,TCO,
